Data 15.03.2019    Godzina 13:47               ZBR/2003-SZYBY2

Symbol                                    IloϾ   Szer     Wys     Pow.  Grub.  Poz Zlecenie             Opis						    Kolor ramki
4/16/4/16/4 (XN)(SWS)                        1     903    1943   1.755    44    23 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     903    1943   1.755    44    24 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     563    1943   1.094    44    25 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
44.2/14/4/14/4 (SWS)                         1     509    2052   1.044    45    26 19/0709              Climatop Protect XN 44.2 Kl. P2A                  szary (RAL 9023)
44.2/14/4/14/4 (SWS)                         1     769     994   0.764    45    26 19/0709              Climatop Protect XN 44.2 Kl. P2A                  szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     679     904   0.614    44    26 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     810    1933   1.565    44    27 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     810    1933   1.565    44    27 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     933    1933   1.803    44    28 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
44.2/14/4/14/4 (SWS)                         1     509    2022   1.029    45    29 19/0709              Climatop Protect XN 44.2 Kl. P2A                  szary (RAL 9023)
44.2/14/4/14/4 (SWS)                         1     769     979   0.753    45    29 19/0709              Climatop Protect XN 44.2 Kl. P2A                  szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     679     889   0.604    44    29 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     563    1933   1.088    44    30 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     913    1933   1.765    44    31 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
44.2/14/4/14/4 (SWS)                         1     792     979   0.775    45    32 19/0709              Climatop Protect XN 44.2 Kl. P2A                  szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     703     889   0.625    44    32 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
44.2/14/4/14/4 (SWS)                         1     509    2042   1.039    45    33 19/0709              Climatop Protect XN 44.2 Kl. P2A                  szary (RAL 9023)
44.2/14/4/14/4 (SWS)                         1     769     989   0.761    45    33 19/0709              Climatop Protect XN 44.2 Kl. P2A                  szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     679     899    0.61    44    33 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
44.2/14/4/14/4 (SWS)                         1     742     989   0.734    45    34 19/0709              Climatop Protect XN 44.2 Kl. P2A                  szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     653     899   0.587    44    34 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
44.2/14/4/14/4 (SWS)                         1     802     989   0.793    45    35 19/0709              Climatop Protect XN 44.2 Kl. P2A                  szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     713     899   0.641    44    35 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     710    1933   1.371    44    36 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
4/16/4/16/4 (XN)(SWS)                        1     710    1933   1.371    44    36 19/0709              Climatop XN - 44mm                                szary (RAL 9023)
