Data 02.06.2023    Godzina 12:16               ZBR/1206-23szyby_2

Symbol                                    Iloœæ   Szer     Wys     Pow.  Grub.  Poz Zlecenie             Opis						    Kolor ramki
4/18/4/18/4 (XN)(SWS)                        1     948    1713   1.624    48     1 23/1624              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%           czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     856     226   0.193    48     1 23/1624              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%           czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     948    2138   2.027    48     2 23/1624              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%           czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     948     613   0.581    48     2 23/1624              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%           czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     948    2138   2.027    48     2 23/1624              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%           czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     948     613   0.581    48     2 23/1624              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%           czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     948    2138   2.027    48     2 23/1624              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%           czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     856     521   0.446    48     2 23/1624              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%           czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     749    2044   1.531    48     3 23/1624              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%           czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     922     598   0.551    48     3 23/1624              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%           czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     739    2044    1.51    48     4 23/1624              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%           czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     912     598   0.545    48     4 23/1624              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%           czarny (RAL 9005)
4/18/4/18/4 (XN)(SWS)                        1     655    2046    1.34    48     1 23/1639              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%            szary (RAL 9023)
4/18/4/18/4 (XN)(SWS)                        1     731    1206   0.882    48     1 23/1639              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%            szary (RAL 9023)
4/18/4/18/4 (XN)(SWS)                        1     370    1206   0.446    48     1 23/1639              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%            szary (RAL 9023)
4/18/4/18/4 (XN)(SWS)                        1     371    1206   0.447    48     2 23/1639              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%            szary (RAL 9023)
4/18/4/18/4 (XN)(SWS)                        1     731    1206   0.882    48     2 23/1639              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%            szary (RAL 9023)
4/14/4/14/4 (XN)(SWS)                        1     678    1998   1.355    40     1 23/1643              Climatop XN - 40mm                                bia³y (RAL 9016)
4/14/4/14/4 (XN)(SWS)                        1     978    1218   1.191    40     2 23/1643              Climatop XN - 40mm                                bia³y (RAL 9016)
4/14/4/14/4 (XN)(SWS)                        1     978    1218   1.191    40     3 23/1643              Climatop XN - 40mm                                bia³y (RAL 9016)
4/14/4/14/4 (XN)(SWS)                        1     948     918    0.87    40     4 23/1643              Climatop XN - 40mm                                bia³y (RAL 9016)
4/18/4/18/4 (XN)(SWS)                        1     886    1176   1.042    48     1 23/1867              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%            szary (RAL 9023)
4/16/Chinchilla Bia³y 4/16/4(SWS)            1     836    1186   0.991    44     2 23/1867              Climatop XN Designe Chinchilla Bia³y              szary (RAL 9023)
4/18/4/18/4 (XN)(SWS)                        1     936    1156   1.082    48     3 23/1867              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%            szary (RAL 9023)
4/18/4/18/4 (XN)(SWS)                        1     936    1156   1.082    48     3 23/1867              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%            szary (RAL 9023)
4/18/4/18/4 (XN)(SWS)                        1    1096    1116   1.223    48     4 23/1867              Climatop XN - 48mm Ug=0,5/g=54%/Lt=74%            szary (RAL 9023)
